"capacity_threshold","original","counterfactual","rawlsian","majority","egalitarian","utilitarian"
55,0.120080321285141,0.183757251227131,0.164158731669512,0.164141845319962,0.160248956561606,0.164151011918053
56,0.120224821787607,0.187077316761104,0.164158731669512,0.164141845319962,0.160248956561606,0.164151011918053
57,0.120188714499253,0.19076980568012,0.164158731669512,0.164141845319962,0.160248956561606,0.164151011918053
58,0.120206313577535,0.194708438798414,0.164158731669512,0.164141845319962,0.160248956561606,0.164151011918053
59,0.121555359419437,0.199470432480141,0.164158731669512,0.164141845319962,0.160248956561606,0.164151011918053
60,0.122612105368993,0.204303237482405,0.164158731669512,0.164141845319962,0.160248956561606,0.164151011918053
61,0.122629906733627,0.207902019063237,0.164158731669512,0.164141845319962,0.160248956561606,0.164151011918053
62,0.123162829900437,0.212874677342886,0.164158731669512,0.164141845319962,0.160248956561606,0.164151011918053
63,0.123817759282279,0.217802518510512,0.164158731669512,0.164141845319962,0.160248956561606,0.164151011918053
64,0.124722345624167,0.223011994669036,0.164158731669512,0.164141845319962,0.160393401794901,0.164151011918053
65,0.125834617360041,0.228499686126805,0.164158731669512,0.164141845319962,0.160660237312743,0.164151011918053
66,0.125934648219017,0.235501913453047,0.164158731669512,0.164141845319962,0.161249374237306,0.164151011918053
67,0.126055998069032,0.240767559739319,0.16419559783071,0.16410346840656,0.163446966979958,0.164181624170559
68,0.127383771656488,0.248099214757572,0.166288727060357,0.164382090704338,0.166776579703146,0.165557019293533
69,0.128029234517246,0.254776253365816,0.184517344962849,0.184487189850497,0.163108241406338,0.184503931924227
70,0.128863591237011,0.262558739823946,0.184517344962849,0.184487189850497,0.163108241406338,0.184503931924227
71,0.130270567229776,0.271940667490729,0.184517344962849,0.184487189850497,0.163108241406338,0.184503931924227
72,0.131269481439501,0.273236044205157,0.184517344962849,0.184487189850497,0.163159735262949,0.184503931924227
73,0.132298867480512,0.275481688483601,0.184517344962849,0.184487189850497,0.163360240128031,0.184503931924227
74,0.131746997111145,0.277254067203892,0.184517344962849,0.184487189850497,0.163651919590715,0.184503931924227
75,0.133169999209674,0.278669090334308,0.184517344962849,0.184487189850497,0.164125156567661,0.184503931924227
76,0.132763017191741,0.28148391872995,0.184517344962849,0.184487189850497,0.16481492597616,0.184503931924227
77,0.133093525179856,0.285799931483385,0.184517344962849,0.184487189850497,0.166166131738021,0.184503931924227
78,0.134704830053667,0.292486583184258,0.184517344962849,0.184487189850497,0.169063577521399,0.184503931924227
79,0.136541689983212,0.300130572654356,0.184517344962849,0.184487189850497,0.174133230627773,0.184503931924227
80,0.136336982017201,0.306684910086005,0.184523921047443,0.184438776873074,0.180424441312798,0.184498323431226
81,0.136279737489746,0.316242821985234,0.187094272368254,0.185523423034913,0.187190046442437,0.187105440603854
82,0.13827027027027,0.327351351351351,0.206200471260561,0.207011723261818,0.16027515106204,0.20644675051053
83,0.138233618233618,0.338917378917379,0.206200471260561,0.207011723261818,0.161744717417637,0.20644675051053
84,0.140074996975928,0.35188097254143,0.206200471260561,0.207011723261818,0.16516045445497,0.20644675051053
85,0.142396907216495,0.368170103092784,0.206200471260561,0.207011723261818,0.170650693368203,0.20644675051053
86,0.145048623476236,0.380221887412683,0.206200471260561,0.207011723261818,0.179277006374849,0.20644675051053
87,0.14684697927385,0.387476113479347,0.206200471260561,0.207011723261818,0.18916329582734,0.20644675051053
88,0.149138067373082,0.396330855606516,0.207151306419792,0.208229237333968,0.200225726857483,0.207497266443501
89,0.15123034859877,0.406527682843472,0.217912385329912,0.222916416508767,0.166479633909636,0.219030536243643
90,0.154320987654321,0.424803591470258,0.217912385329912,0.222916416508767,0.172217038328131,0.219030536243643
91,0.156230753438719,0.439540135495791,0.217912385329912,0.222916416508767,0.183714844905782,0.219030536243643
92,0.159397122630738,0.46814341173784,0.217900721171187,0.22306353637524,0.199389630028599,0.219104993483593
93,0.161572052401747,0.481119958900591,0.223313585765522,0.230437864493921,0.215859040020666,0.225810535185114
94,0.167497799941332,0.497799941331769,0.285797682356168,0.262291921427014,0.190004759072707,0.273144062198366
95,0.176008202323992,0.532467532467532,0.285797682356168,0.26259459927184,0.201809294293499,0.273144062198366
96,0.179055441478439,0.553593429158111,0.367919070442568,0.299011536094979,0.24977784212774,0.337903622078524
97,0.184102564102564,0.591794871794872,0.367919070442568,0.299510961667776,0.252692280630413,0.337903622078524
98,0.200273410799727,0.639097744360902,0.414784559335227,0.35246443077281,0.124890080020891,0.419693572930019
